sample_index,video_time_s,panel_file,distance_km,distance_raw,distance_confidence,distance_method,distance_candidate_count,distance_candidates,status,review_reasons
0,200.0,panels/panel_0000000.jpg,0.0,0.000[ km],78.53,existing,2,0.000,parsed,
1,200.2,panels/panel_0000001.jpg,0.0,0.000[ km],84.41,existing,2,0.000,parsed,
2,200.4,panels/panel_0000002.jpg,0.0,0.000[ km],84.41,existing,2,0.000,parsed,
3,200.6,panels/panel_0000003.jpg,0.0,0.000[ km],84.41,existing,2,0.000,parsed,
4,200.8,panels/panel_0000004.jpg,0.0,0.000[ km],85.07,existing,2,0.000,parsed,
5,201.0,panels/panel_0000005.jpg,0.001,0.001[km],85.07,existing,2,0.001,parsed,
6,201.2,panels/panel_0000006.jpg,0.001,0.001[km],86.13,existing,2,0.001,parsed,
7,201.4,panels/panel_0000007.jpg,0.002,0.002[km],81.84,existing,2,0.002,parsed,
8,201.6,panels/panel_0000008.jpg,0.002,0.002[km],78.68,existing,2,0.002,parsed,
9,201.8,panels/panel_0000009.jpg,0.002,0.002[km],80.05,existing,2,0.002,parsed,
10,202.0,panels/panel_0000010.jpg,0.003,0.003[km],84.04,existing,2,0.003,parsed,
11,202.2,panels/panel_0000011.jpg,0.003,0.003[km],84.91,existing,2,0.003,parsed,
12,202.4,panels/panel_0000012.jpg,0.003,0.003[km],85.01,existing,2,0.003,parsed,
13,202.6,panels/panel_0000013.jpg,0.003,0.003[km],81.09,existing,2,0.003,parsed,
14,202.8,panels/panel_0000014.jpg,0.004,0.004[ km],83.56,existing,2,0.004,parsed,
15,203.0,panels/panel_0000015.jpg,0.004,0.004[ km],85.99,existing,2,0.004,parsed,
16,203.2,panels/panel_0000016.jpg,0.004,0.004[ km],81.68,existing,2,0.004,parsed,
17,203.4,panels/panel_0000017.jpg,0.004,0.004[km],81.76,existing,2,0.004,parsed,
18,203.6,panels/panel_0000018.jpg,0.004,0.004[ km],83.47,existing,2,0.004,parsed,
19,203.8,panels/panel_0000019.jpg,0.005,0.005[km],82.68,existing,2,0.005,parsed,
20,204.0,panels/panel_0000020.jpg,0.005,0.005[km],80.91,existing,2,0.005,parsed,
21,204.2,panels/panel_0000021.jpg,0.005,0.005[km],83.37,existing,2,0.005,parsed,
22,204.4,panels/panel_0000022.jpg,0.005,0.005[km],84.09,existing,2,0.005,parsed,
23,204.6,panels/panel_0000023.jpg,0.005,0.005[km],84.99,existing,2,0.005,parsed,
24,204.8,panels/panel_0000024.jpg,0.006,0.006[ km],8.33,existing,2,0.006,parsed,
