sample_index,video_time_s,panel_file,speed_kmh,speed_raw,speed_confidence,speed_method,speed_candidate_count,speed_candidates,status,review_reasons
0,200,panels/panel_0000000.jpg,2.334,2.334,0,existing,2,2.334=2.334|27334=27.334,parsed,--
1,200.2,panels/panel_0000001.jpg,2.693,2.693,0,existing,2,2.693=2.693|27693=27.693,parsed,--
2,200.4,panels/panel_0000002.jpg,3.053,3.053,0,existing,2,3.053=3.053|37053=37.053,parsed,--
3,200.6,panels/panel_0000003.jpg,3.442,3.442,0,existing,2,3.442=3.442|37442=37.442,parsed,--
4,200.8,panels/panel_0000004.jpg,3.771,3.771,0,existing,1,3.771=3.771,parsed,--
5,201,panels/panel_0000005.jpg,4.077,4.077,0,existing,1,4.077=4.077,parsed,--
6,201.2,panels/panel_0000006.jpg,4.306,4.306,0,existing,2,147306=147.306|4.306=4.306,parsed,--
7,201.4,panels/panel_0000007.jpg,4.536,4.536,0,existing,2,4.536=4.536|47536=47.536,parsed,--
8,201.6,panels/panel_0000008.jpg,4.766,4.766,0,existing,2,4.766=4.766|4766=4.766,parsed,--
9,201.8,panels/panel_0000009.jpg,4.995,4.995,0,existing,2,4.995=4.995|47995=47.995,parsed,--
10,202,panels/panel_0000010.jpg,4.945,4.945,0,existing,2,147945=147.945|4.945=4.945,parsed,--
11,202.2,panels/panel_0000011.jpg,4.501,4.501,0,existing,2,147504=147.504|4.501=4.501,parsed,--
12,202.4,panels/panel_0000012.jpg,4.056,4.056,0,existing,2,4.056=4.056|4056=4.056,parsed,--
13,202.6,panels/panel_0000013.jpg,3.642,3.642,0,existing,2,3.642=3.642|37642=37.642,parsed,--
14,202.8,panels/panel_0000014.jpg,3.167,3.167,0,existing,2,3.167=3.167|3167=3.167,parsed,--
15,203,panels/panel_0000015.jpg,2.666,2.666,0,existing,2,2.666=2.666|2666=2.666,parsed,--
16,203.2,panels/panel_0000016.jpg,2.084,2.084,0,existing,2,2.084=2.084|27084=27.084,parsed,--
17,203.4,panels/panel_0000017.jpg,1.503,1.503,0,existing,2,1.503=1.503|41503=41.503,parsed,--
18,203.6,panels/panel_0000018.jpg,0.921,0.921,0,existing,2,0.921=0.921|97924=97.924,parsed,--
