
    时间      车速      一轮横向位移   二轮横向位移   三轮横向位移   四轮横向位移   一轮垂向位移   二轮垂向位移   三轮垂向位移   四轮垂向位移   一轮侧滚角位移   二轮侧滚角位移   三轮侧滚角位移   四轮侧滚角位移   一轮冲角位移   二轮冲角位移   三轮冲角位移   六轮冲角位移
       m             s               mm             mm             mm             mm             mm             mm             mm             mm              o              o              o              o              o              o              o              o

 0.70560000E-03 0.15680000E-01 -.71744256E-04 -.77652450E-04 -.71953785E-04 -.77111021E-04 0.11739488E+01 0.11739225E+01 0.11740717E+01 0.11740994E+01 0.49148033E-06 0.45470647E-06 0.49393198E-06 0.45382212E-06 -.96718616E-06 -.99231966E-06 -.94583516E-06 -.96843477E-06
 0.14256000E-02 0.31680000E-01 -.71414616E-04 -.77531774E-04 -.71630590E-04 -.76996359E-04 0.11739486E+01 0.11739224E+01 0.11740724E+01 0.11741001E+01 0.48918744E-06 0.45338390E-06 0.49167285E-06 0.45252691E-06 -.97010267E-06 -.99591603E-06 -.94880586E-06 -.97208428E-06
 0.21456000E-02 0.47680000E-01 -.71084519E-04 -.77409994E-04 -.71306927E-04 -.76880593E-04 0.11739485E+01 0.11739222E+01 0.11740731E+01 0.11741008E+01 0.48689482E-06 0.45205970E-06 0.48941344E-06 0.45122985E-06 -.97299410E-06 -.99948510E-06 -.95175187E-06 -.97570693E-06
 0.28656000E-02 0.63680000E-01 -.70753971E-04 -.77287111E-04 -.70982793E-04 -.76763723E-04 0.11739483E+01 0.11739221E+01 0.11740738E+01 0.11741015E+01 0.48460244E-06 0.45073388E-06 0.48715463E-06 0.44993152E-06 -.97586047E-06 -.10030269E-05 -.95467320E-06 -.97930273E-06
 0.35856000E-02 0.79680000E-01 -.70422981E-04 -.77163130E-04 -.70658201E-04 -.76645759E-04 0.11739483E+01 0.11739221E+01 0.11740746E+01 0.11741023E+01 0.48231043E-06 0.44940663E-06 0.48489612E-06 0.44863163E-06 -.97870179E-06 -.10065414E-05 -.95756985E-06 -.98287167E-06
 0.43056000E-02 0.95680000E-01 -.70091556E-04 -.77038059E-04 -.70333159E-04 -.76526706E-04 0.11739482E+01 0.11739221E+01 0.11740753E+01 0.11741031E+01 0.48001862E-06 0.44807792E-06 0.48263787E-06 0.44733028E-06 -.98151809E-06 -.10100286E-05 -.96044184E-06 -.98641377E-06
 0.50256000E-02 0.11168000E+00 -.69759703E-04 -.76911903E-04 -.70007670E-04 -.76406567E-04 0.11739483E+01 0.11739221E+01 0.11740761E+01 0.11741039E+01 0.47772722E-06 0.44674775E-06 0.48038024E-06 0.44602739E-06 -.98430937E-06 -.10134886E-05 -.96328919E-06 -.98992904E-06
 0.57456000E-02 0.12768000E+00 -.69427427E-04 -.76784664E-04 -.69681745E-04 -.76285349E-04 0.11739484E+01 0.11739222E+01 0.11740769E+01 0.11741047E+01 0.47543635E-06 0.44541629E-06 0.47812308E-06 0.44472315E-06 -.98707567E-06 -.10169213E-05 -.96611191E-06 -.99341749E-06
