mileage,curvature_simulation
641000,0
641000.25,0
641000.5,0
641000.75,0
641001,0
641001.25,0
641001.5,0
641001.75,0
641002,0
641002.25,0
641002.5,0
641002.75,0
641003,0
641003.25,0
641003.5,0
641003.75,0
641004,0
641004.25,0
641004.5,0
641004.75,0
641005,0
641005.25,0
641005.5,0
641005.75,0
641006,0
641006.25,0
641006.5,0
641006.75,0
641007,0
641007.25,0
641007.5,0
641007.75,0
641008,0
641008.25,0
641008.5,0
641008.75,0
641009,0
641009.25,0
641009.5,0
641009.75,0
641010,0
641010.25,0
641010.5,0
641010.75,0
641011,0
641011.25,0
641011.5,0
641011.75,0
641012,0
641012.25,0
641012.5,0
641012.75,0
641013,0
641013.25,0
641013.5,0
641013.75,0
641014,0
641014.25,0
641014.5,0
641014.75,0
641015,0
641015.25,0
641015.5,0
641015.75,0
641016,0
641016.25,0
641016.5,0
641016.75,0
641017,0
641017.25,0
641017.5,0
641017.75,0
641018,0
641018.25,0
641018.5,0
641018.75,0
641019,0
641019.25,0
641019.5,0
641019.75,0
641020,0
641020.25,0
641020.5,0
641020.75,0
641021,0
641021.25,0
641021.5,0
641021.75,0
641022,0
641022.25,0
641022.5,0
641022.75,0
641023,0
641023.25,0
641023.5,0
641023.75,0
641024,0
641024.25,0
641024.5,0
641024.75,0
641025,0
641025.25,0
641025.5,0
641025.75,0
641026,0
641026.25,0
641026.5,0
641026.75,0
641027,0
641027.25,0
641027.5,0
641027.75,0
641028,0
641028.25,0
641028.5,0
641028.75,0
641029,0
641029.25,0
641029.5,0
641029.75,0
641030,0
641030.25,0
641030.5,0
641030.75,0
641031,0
641031.25,0
641031.5,0
641031.75,0
641032,0
641032.25,0
641032.5,0
641032.75,0
641033,0
641033.25,0
641033.5,0
641033.75,0
641034,0
641034.25,0
641034.5,0
641034.75,0
641035,0
641035.25,0
641035.5,0
641035.75,0
641036,0
641036.25,0
641036.5,0
641036.75,0
641037,0
641037.25,0
641037.5,0
641037.75,0
641038,0
641038.25,0
641038.5,0
641038.75,0
641039,0
641039.25,0
641039.5,0
641039.75,0
641040,0
641040.25,0
641040.5,0
641040.75,0
641041,0
641041.25,0
641041.5,0
641041.75,0
641042,0
641042.25,0
641042.5,0
641042.75,0
641043,0
641043.25,0
641043.5,0
641043.75,0
641044,0
641044.25,0
641044.5,0
641044.75,0
641045,0
641045.25,0
641045.5,0
641045.75,0
641046,0
641046.25,0
641046.5,0
641046.75,0
641047,0
641047.25,0
641047.5,0
641047.75,0
641048,0
641048.25,0
641048.5,0
641048.75,0
641049,0
641049.25,0
641049.5,0
641049.75,0
641050,0
641050.25,0
641050.5,0
641050.75,0
641051,0
641051.25,0
641051.5,0
641051.75,0
641052,0
641052.25,0
641052.5,0
641052.75,0
641053,0
641053.25,0
641053.5,0
641053.75,0
641054,0
641054.25,0
641054.5,0
641054.75,0
641055,0
641055.25,0
641055.5,0
641055.75,0
641056,0
641056.25,0
641056.5,0
641056.75,0
641057,0
641057.25,0
641057.5,0
641057.75,0
641058,0
641058.25,0
641058.5,0
641058.75,0
641059,0
641059.25,0
641059.5,0
641059.75,0
641060,0
641060.25,0
641060.5,0
641060.75,0
641061,0
641061.25,0
641061.5,0
641061.75,0
641062,0
641062.25,0
641062.5,0
641062.75,0
641063,0
641063.25,0
641063.5,0
641063.75,0
641064,0
641064.25,0
641064.5,0
641064.75,0
641065,0
641065.25,0
641065.5,0
641065.75,0
641066,0
641066.25,0
641066.5,0
641066.75,0
641067,0
641067.25,0
641067.5,0
641067.75,0
641068,0
641068.25,0
641068.5,0
641068.75,0
641069,0
641069.25,0
641069.5,0
641069.75,0
641070,0
641070.25,0
641070.5,0
641070.75,0
641071,0
641071.25,0
641071.5,0
641071.75,0
641072,0
641072.25,0
641072.5,0
641072.75,0
641073,0
641073.25,0
641073.5,0
641073.75,0
641074,0
641074.25,0
641074.5,0
641074.75,0
641075,0
641075.25,0
641075.5,0
641075.75,0
641076,0
641076.25,0
641076.5,0
641076.75,0
641077,0
641077.25,0
641077.5,0
641077.75,0
641078,0
641078.25,0
641078.5,0
641078.75,0
641079,0
641079.25,0
641079.5,0
641079.75,0
641080,0
641080.25,0
641080.5,0
641080.75,0
641081,0
641081.25,0
641081.5,0
641081.75,0
641082,0
641082.25,0
641082.5,0
641082.75,0
641083,0
641083.25,0
641083.5,0
641083.75,0
641084,0
641084.25,0
641084.5,0
641084.75,0
641085,0
641085.25,0
641085.5,0
641085.75,0
641086,0
641086.25,0
641086.5,0
641086.75,0
641087,0
641087.25,0
641087.5,0
641087.75,0
641088,0
641088.25,0
641088.5,0
641088.75,0
641089,0
641089.25,0
641089.5,0
641089.75,0
641090,0
